freq_hz,noise,sigma_n,opt sigma_n,mean_err_sindy_train,mean_err_gpsindy_train,mean_err_sindy_test,mean_err_gpsindy_test
10,0,0.001,0,25.17730036,25.20901817,11.09507505,10.86521211
10,0,0.001,1,25.17730036,NaN,11.09507505,NaN
10,0,0.002,0,25.17730036,24.876842,11.09507505,10.95763789
10,0,0.002,1,25.17730036,NaN,11.09507505,NaN
10,0,0.003,0,25.17730036,25.20373513,11.09507505,11.26288431
10,0,0.003,1,25.17730036,NaN,11.09507505,NaN
10,0,0.01,0,25.17730036,25.32681632,11.09507505,12.25664206
10,0,0.01,1,25.17730036,66.15424463,11.09507505,45.95279993
10,0,0.02,0,25.17730036,29.14426529,11.09507505,13.93576581
10,0,0.02,1,25.17730036,55.9636431,11.09507505,34.41281946
10,0,0.03,0,25.17730036,31.3547643,11.09507505,17.37657718
10,0,0.03,1,25.17730036,38.35716467,11.09507505,35.37317794
10,0,0.1,0,25.17730036,37.83293007,11.09507505,18.7764589
10,0,0.1,1,25.17730036,35.73742888,11.09507505,15.63545458
10,0,0.2,0,25.17730036,42.78348842,11.09507505,24.27202967
10,0,0.2,1,25.17730036,33.29907547,11.09507505,15.79720272
10,0,0.3,0,25.17730036,46.66017552,11.09507505,39.21786225
10,0,0.3,1,25.17730036,33.36322471,11.09507505,15.8164911
10,0.01,0.001,0,27.49448756,27.49268443,11.90088568,11.90085241
10,0.01,0.001,1,27.49448756,NaN,11.90088568,NaN
10,0.01,0.002,0,27.49448756,27.48624592,11.90088568,11.90086892
10,0.01,0.002,1,27.49448756,NaN,11.90088568,NaN
10,0.01,0.003,0,27.49448756,27.01818375,11.90088568,11.98997055
10,0.01,0.003,1,27.49448756,NaN,11.90088568,NaN
10,0.01,0.01,0,27.49448756,28.33780259,11.90088568,12.96919891
10,0.01,0.01,1,27.49448756,NaN,11.90088568,NaN
10,0.01,0.02,0,27.49448756,27.51247119,11.90088568,13.39689911
10,0.01,0.02,1,27.49448756,73.21241762,11.90088568,36.58044483
10,0.01,0.03,0,27.49448756,30.5878426,11.90088568,14.13268851
10,0.01,0.03,1,27.49448756,41.37594609,11.90088568,263.3797086
10,0.01,0.1,0,27.49448756,37.51577994,11.90088568,17.75624802
10,0.01,0.1,1,27.49448756,39.69692913,11.90088568,18.31022561
10,0.01,0.2,0,27.49448756,42.20028479,11.90088568,28.85926591
10,0.01,0.2,1,27.49448756,37.91549748,11.90088568,25.1804212
10,0.01,0.3,0,27.49448756,51.24726686,11.90088568,32.0340763
10,0.01,0.3,1,27.49448756,38.92031087,11.90088568,22.67383228
10,0.02,0.001,0,31.9891104,31.9822974,16.75240858,16.75254948
10,0.02,0.001,1,31.9891104,NaN,16.75240858,NaN
10,0.02,0.002,0,31.9891104,32.04621485,16.75240858,16.75290503
10,0.02,0.002,1,31.9891104,NaN,16.75240858,NaN
10,0.02,0.003,0,31.9891104,32.17234531,16.75240858,16.42362659
10,0.02,0.003,1,31.9891104,NaN,16.75240858,NaN
10,0.02,0.01,0,31.9891104,30.96319094,16.75240858,13.72524176
10,0.02,0.01,1,31.9891104,NaN,16.75240858,NaN
10,0.02,0.02,0,31.9891104,34.48389351,16.75240858,16.48916755
10,0.02,0.02,1,31.9891104,62.89774449,16.75240858,141.046758
10,0.02,0.03,0,31.9891104,35.24469948,16.75240858,15.37795149
10,0.02,0.03,1,31.9891104,48.19805095,16.75240858,34.15203146
10,0.02,0.1,0,31.9891104,37.88230525,16.75240858,18.5198066
10,0.02,0.1,1,31.9891104,40.94581957,16.75240858,20.60863977
10,0.02,0.2,0,31.9891104,42.99930001,16.75240858,23.97131873
10,0.02,0.2,1,31.9891104,41.71896301,16.75240858,21.59951244
10,0.02,0.3,0,31.9891104,49.14600996,16.75240858,31.46028127
10,0.02,0.3,1,31.9891104,43.32128837,16.75240858,22.9166731
10,0.03,0.01,0,31.34487094,31.31746674,20.96028648,20.60134292
10,0.03,0.01,1,31.34487094,NaN,20.96028648,NaN
10,0.03,0.02,0,31.34487094,32.47940785,20.96028648,21.17266013
10,0.03,0.02,1,31.34487094,91.07212216,20.96028648,74.9193921
10,0.03,0.1,0,31.34487094,36.31370821,20.96028648,16.09624815
10,0.03,0.1,1,31.34487094,43.98271043,20.96028648,23.30826449
10,0.03,0.2,0,31.34487094,44.7020848,20.96028648,22.37818113
10,0.03,0.2,1,31.34487094,45.06823875,20.96028648,25.43910095
10,0.04,0.01,0,30.10021132,30.25529233,14.58137229,14.57300509
10,0.05,0.01,0,34.77779424,34.98494553,16.75700016,17.05539066
10,0.05,0.01,1,34.77779424,NaN,16.75700016,NaN
10,0.05,0.02,0,34.77779424,37.47800005,16.75700016,23.10923929
10,0.05,0.02,1,34.77779424,NaN,16.75700016,NaN
10,0.05,0.1,0,34.77779424,39.64802599,16.75700016,23.17846198
10,0.05,0.1,1,34.77779424,55.55059911,16.75700016,30.89804696
10,0.05,0.2,0,34.77779424,39.48222497,16.75700016,19.62594273
10,0.05,0.2,1,34.77779424,52.92119857,16.75700016,31.6002679
10,0.06,0.01,0,34.31161848,33.86480258,16.86848324,17.35890199
10,0.07,0.01,0,30.44262935,30.53849544,18.44420442,18.04196707
25,0,0.01,0,24.18497645,24.78817557,12.36539951,12.36972766
25,0,0.01,1,24.18497645,NaN,12.36539951,NaN
