t,x1_sindy,x2_sindy,x3_sindy,x4_sindy,x1_gpsindy,x2_gpsindy,x3_gpsindy,x4_gpsindy,x1_nn,x2_nn,x3_nn,x4_nn
24.0,-36.88461914639247,-19.414067158929118,-2.7188760042092937,0.04690000461083147,-36.88461914639247,-19.414067158929118,-2.7188760042092937,0.04690000461083147,-36.88461914639247,-19.414067158929118,-2.7188760042092937,0.04690000461083147
24.1,-96.77244966085287,-19.435859121748965,1.2968777783769023,0.06837713519980355,-37.16349425374151,-19.426932315579133,-3.3922677156183463,0.06829483768398091,-36.718563388039264,-19.15155134960188,-2.758848942530792,-0.2945561789238675
24.2,-1173.4009913951695,-19.422651424694298,-11.867953777692186,0.09430192671206837,-37.51160136784019,-19.450296257733992,-3.7255461053538608,0.09411999975477488,-36.5131409771616,-18.885319912661593,-2.8302157047415184,-0.48850690469270097
24.3,-1.9207276474552983e6,-19.266168730954785,-2761.143716223426,0.12440485858323111,-37.893483309172474,-19.48563293238164,-3.877977545486522,0.12410675356094888,-36.31203601659643,-18.639313164454872,-2.931076381140869,-0.6025262354670389
24.4,-8.418950703420685e15,-7054.525859278911,7.58224998573594e9,0.1583753110274696,-38.28988364934817,-19.534079618547093,-3.961479053570619,0.15794531999043182,-36.155084011130846,-18.429148402703067,-3.0535618907490107,-0.6816082813083302
24.5,-7.089808458658568e44,-1.2439752018682406e16,5.0873333671817855e32,0.19586554829778915,-38.69300018389699,-19.59695954333394,-4.021156874939308,0.19528883531436814,-36.065129385245804,-18.248225207485863,-3.1907792781031508,-0.7501459491144038
24.6,-4.234129233647431e131,-7.640954732261025e62,1.9292151159248027e107,0.23649492910423942,-39.099569663311634,-19.675698041280697,-4.070469092227086,0.23575754475894245,-36.049473000825856,-18.075153067493105,-3.343108208545696,-0.8178920797051369
24.7,NaN,NaN,NaN,NaN,-39.50758754505701,-19.77162927920857,-4.112554984014617,0.2789431296480763,-36.11094097976409,-17.88186065543725,-3.518337799501657,-0.8889253146559303
24.8,NaN,NaN,NaN,NaN,-39.915256787712316,-19.885866808011286,-4.147748353634733,0.32441308260763524,-36.25803379412701,-17.63302500663418,-3.7299897026798092,-0.9687198003899486
24.9,NaN,NaN,NaN,NaN,-40.32072963079304,-20.019228540038437,-4.175719676819107,0.3717150662941897,-36.5121265372823,-17.275811587679392,-3.9961283969193673,-1.0696386718799547
25.0,NaN,NaN,NaN,NaN,-40.722081943453375,-20.17219145160097,-4.196017731294293,0.4203812135894284,-36.91210319121849,-16.716967876154197,-4.336729267568537,-1.2176402209364048
25.1,NaN,NaN,NaN,NaN,-41.11735174032113,-20.3448642161791,-4.2081954981177745,0.46993234911589216,-37.498313536456365,-15.779441446970845,-4.76305761567797,-1.4544828818399158
25.2,NaN,NaN,NaN,NaN,-41.50459612499748,-20.536974227930695,-4.211839569256881,0.5198821315005586,-38.157513106774886,-14.141233990511148,-5.2659037715558945,-1.7570528147638198
25.3,NaN,NaN,NaN,NaN,-41.88195351655481,-20.747868433860518,-4.206579959663702,0.5697411316225536,-38.165823300329826,-11.387144027787514,-5.974338457325661,-1.6685917239948254
25.4,NaN,NaN,NaN,NaN,-42.24770561752185,-20.97652778427509,-4.19209684796962,0.6190208730919503,-38.2690942511464,-8.024022933798461,-6.943397465064452,-1.565089634133443
